id;word;pos;ttpos;rrnpos;ttlemma;rnnlemma;s_line;position;word2;word2lemma;category;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date;type_full;type
aileb;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;266;1 560 568;ai;avoir;VERcjg;226;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;82 (Nievre, Allier);nil;85;82;oui;ms;1207;1290;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileb;VRAI;1207;j;1
aileg;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;630;1 568 911;ai;avoir;VERcjg;246;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);nil;86;70;oui;ms;1207;1300;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileg;VRAI;1207;j;1
aileo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;130;1 569 905;ai;avoir;VERcjg;107;Nord;Nord;Nord;14;14;14;14;87 (Lille et env.);1310;40;87;oui;ms;1207;1310;pic.;pic.;g. nord;Nord-Est;Nord-Est;g. nord-est;poeme didactique;aileo;VRAI;1207;j;1
ailet;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;535;1 573 929;ai;avoir;VERcjg;116;Wallonie;Wallonie;Wallonie;16;16;16;16;76 (Wallonie);nil;45;76;oui;ms;1207;1300;pic.;pic.;g. nord;wall.;wall.;g. nord-est;poeme didactique;ailet;VRAI;1207;j;1
ailet;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;613;1 574 420;ai;avoir;VERcjg;116;Wallonie;Wallonie;Wallonie;16;16;16;16;76 (Wallonie);nil;45;76;oui;ms;1207;1300;pic.;pic.;g. nord;wall.;wall.;g. nord-est;poeme didactique;ailet;VRAI;1207;j;1
ailet;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;271;1 572 290;ai;avoir;VERcjg;116;Wallonie;Wallonie;Wallonie;16;16;16;16;76 (Wallonie);nil;45;76;oui;ms;1207;1300;pic.;pic.;g. nord;wall.;wall.;g. nord-est;poeme didactique;ailet;VRAI;1207;j;1
aiol;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1153;0 177 887;ai;avoir;VERcjg;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1160;j;1
aiol;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;806;0 176 610;ai;avoir;VERcjg;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1160;j;1
aiol;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;726;0 176 329;ai;avoir;VERcjg;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1160;j;1
aiol;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;710;0 176 265;orai;orer;VERcjg;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1160;j;1
aiol;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1553;0 179 387;ai;avoir;VERcjg;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1160;j;1
alia;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;640;0 891 072;en;en;PROadv;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
alia;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1800;0 901 361;an;en;PROadv;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
alia;g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;2809;0 910 412;esteie;être;VERcjg;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
alia;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;499;0 890 020;es;être;VERcjg;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
alia;g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;320;0 888 666;en;en;PROadv;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
