id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
aye;3;1;4;0.75;288;nil;Normandie;Normandie;10;NA;10;10;nil;1300;24;62;non;cr1;1200;1300;pic. / norm.;NA;g. nord-ouest;nil;nil;NA;chanson de geste du cycle de Nanteuil, rattachee au cycle de Charlemagne, en laisses d'alexandrins;#N/A;FAUX;1300
baisieux;5;2;7;0.714285714285714;118;Wallonie;Wallonie;Wallonie;16;16;16;16;73 (Wallonie);1300;45;73;oui;ms;1300;1300;wall.;wall.;g. nord-est;wall.;wall.;g. nord-est;une nouvelle courtoise et deux dits à caractï¿_re moralisant et religieux;baisieux;VRAI;1300
bar;8;4;12;0.666666666666667;48;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;95 (Somme, Pas-de-Calais);1310;26;95;oui;cr2;1210;1310;pic.;pic.;g. nord;pic.;pic.;g. nord;conte pieux;bar;VRAI;1310
barlaam;16;48;64;0.25;191;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;86 (Langres et env.);1290;61;86;non;cr3;1217;1290;champ.;champ.;g. nord-est;est;est;g. est;legende orientale en prose;barlaam;VRAI;1290
barril;9;4;13;0.692307692307692;227;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;85 (Nievre, Allier);1310;85;85;oui;ms;1218;1317;orl.;orl.;g. sud;orl.;orl.;g. sud;poeme;barril;VRAI;1317
beati;6;8;14;0.428571428571429;217;Vosges;Vosges;Vosges;25;25;25;25;70 (Vosges);1150;75;70;non;ms2;1200;1200;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;texte religieux;beati;VRAI;1200
beauv;21;0;21;1;92;Oise;Oise;Oise;12;12;12;12;81 (Oise);1250;32;81;non;ms3;1283;1250;Oise;oise;g. nord;frc.;frc.;g. francien;nil;beauv;VRAI;1250
bel;2;3;5;0.4;111;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;NA;11;11;nil;1275;29;64;oui;ms2;1200;1283;est;est;g. est;hain.;hain.;g. nord;conte en octosyllabes;#N/A;FAUX;1283
benoit;8;2;10;0.8;7;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;70 (Vendee);1190;4;70;oui;ms1;1174;1190;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;chronique en vers octosyllabiques;benoit;VRAI;1190
bern2;0;1;1;0;214;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;24;24;24;24;79 (Moselle, Meurthe-et-Moselle);nil;70;79;non;ms;1190;1190;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;sermons liturgiques;bern2;VRAI;1190
