word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesE1;79;0 599 888;i;y	
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesE1;485;0 602 292;i;y	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesK;1669;0 621 243;i;y	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesY;86;0 663 870;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesY;382;0 665 550;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesY;486;0 666 136;i;y	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesZ;80;0 670 338;y;y	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesZ;486;0 672 741;y;y	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pera;337;0 677 553;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perb;329;0 689 882;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perb;628;0 691 669;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;331;0 701 924;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;630;0 703 711;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;4192;0 725 497;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;4225;0 725 701;i;y	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;4975;0 730 210;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;5253;0 731 925;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;6313;0 738 397;i;y	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;6643;0 740 383;i;y	
