Référence	ContexteGauche	Pivot	ContexteDroit
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, amou, 960, 2 388 383		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, amou, 1786, 2 393 501		je_je et_et	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sully2, 4186, 2 448 474		ge_je ou_ou	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, amo, 1440, 2 458 613		iou_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 139, 2 475 761		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1113, 2 489 429		je_je et_et	
geo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, edmond, 7, 2 553 235		geo_je et_et	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ndchar, 3426, 2 583 696		ge_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, egip, 277, 2 606 907		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cass, 31, 2 617 857		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cass, 333, 2 623 674		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, enf, 597, 2 656 720		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, enf, 1528, 2 662 176		je_je et_et	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pen, 148, 2 677 998		jou_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, malk, 1924, 2 794 598		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, malk, 2103, 2 795 630		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, malk, 2328, 2 796 953		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chauvency, 67, 2 817 829		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, helc, 69, 2 858 787		je_je et_et	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, robin, 260, 2 869 559		jou_je et_et	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, troi, 79, 2 875 189		ge_je et_et	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, troi, 157, 2 877 555		ge_je et_et	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, troi, 258, 2 881 010		ge_je et_et	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nouvel, 1398, 2 945 020		jou_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nouvel, 1701, 2 946 879		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nouvel, 2265, 2 950 303		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nouvel, 2296, 2 950 508		je_je et_et	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pseuturp, 539, 2 973 623		je_je et_et	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, loth, 412, 3 157 030		ie_je et_et	
