Référence	ContexteGauche	Pivot	ContexteDroit
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesA, 3584, 0 564 314		ieo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesB, 86, 0 567 066		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesB, 382, 0 568 775		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesB, 486, 0 569 384		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesB, 2161, 0 578 848		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesB, 2421, 0 580 377		jo_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesE1, 79, 0 599 888		io_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesE1, 485, 0 602 292		io_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesK, 1669, 0 621 243		ge_je i_y	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesY, 86, 0 663 870		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesY, 382, 0 665 550		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesY, 486, 0 666 136		ieo_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesZ, 80, 0 670 338		je_je y_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesZ, 486, 0 672 741		je_je y_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pera, 337, 0 677 553		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perb, 329, 0 689 882		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perb, 628, 0 691 669		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 331, 0 701 924		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 630, 0 703 711		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 4192, 0 725 497		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 4225, 0 725 701		ie_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 4975, 0 730 210		ge_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 5253, 0 731 925		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 6313, 0 738 397		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 6643, 0 740 383		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 6784, 0 741 270		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, percevalb, 8373, 0 750 848		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perf, 322, 0 757 163		ie_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 200, 0 766 462		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 335, 0 767 330		ieo_je i_y	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 644, 0 769 185		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 709, 0 769 598		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 1480, 0 774 376		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 1511, 0 774 572		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perh, 1788, 0 776 244		ieo_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perl, 338, 0 779 504		ie_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perm, 338, 0 791 731		ge_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perm, 642, 0 793 540		ie_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perm, 798, 0 794 521		ge_je en_en	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perp, 269, 0 803 435		jou_je i_y	
