word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romi;892;1 057 314;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romk;710;1 062 178;a;à	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;roml;407;1 069 417;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romm;647;1 079 880;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romo;405;1 089 561;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;66;1 096 689;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;351;1 098 472;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;425;1 098 954;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;426;1 098 961;a;à	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;elie;1822;1 151 725;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;herm;1768;1 192 759;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;244;1 232 295;a;à	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;1179;1 240 312;od;o	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;1218;1 240 639;en;en	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbO;244;1 249 109;a;à	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;edmund;18;1 249 388;a;à	
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;edmund;1246;1 256 447;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;graal;538;1 275 355;a;à	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nic;1104;1 284 004;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;evratC2;821;1 291 678;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;1;1 360 835;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;272;1 366 341;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;beati;303;1 367 172;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;contro;985;1 385 829;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cordres;620;1 401 112;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fab4c;4;1 411 270;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;moral;1228;1 447 643;a;à	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;VERppe;je;issir;ailea;29;1 555 045;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileb;28;1 559 115;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ailed;29;1 562 005;en;en	
