Référence	ContexteGauche	Pivot	ContexteDroit
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1431, 0 043 487		je_je annunciai_annoncer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1468, 0 043 739		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1479, 0 043 817		je_je oi_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1546, 0 044 215		je_je enterrai_entrer	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1735, 0 045 501		jeo_je enclinerai_encliner	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1736, 0 045 508		je_je aoverrai_aouvrir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1821, 0 046 078		je_je arguerai_arguer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 1851, 0 046 305		je_je enseignerai_enseigner	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2026, 0 047 373		je_je apelerai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2156, 0 048 236		je_je irai_aller	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2312, 0 049 218		jeo_je enterrai_entrer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2315, 0 049 244		je_je esteie_être	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2485, 0 050 350		jeo_je atendi_attendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2573, 0 050 923		je_je enterrai_entrer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2579, 0 050 962		je_je anuncie_annoncer	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2650, 0 051 424		jeo_je enviai_envoyer	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2676, 0 051 586		jeo_je entendisse_entendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2690, 0 051 671		je_je esteie_être	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2810, 0 052 488		je_je esbahisseie_ébahir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 2850, 0 052 723		je_je aoverrai_aouvrir	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3101, 0 054 436		jeo_je oi_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3201, 0 055 073		je_je eslis_élire	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3224, 0 055 223		jeo_je orrai_ouïr	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3314, 0 055 826		je_je apelai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3341, 0 056 010		je_je edifierai_édifier	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3507, 0 057 227		je_je eshalcerai_exhausser	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3759, 0 058 848		je_je irai_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3780, 0 058 961		je_je ocie_occire	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3787, 0 059 005		je_je apelerai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3793, 0 059 040		je_je ubliai_oublier	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 3968, 0 060 223		je_je esleecerai_esliesser	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4275, 0 062 192		je_je esleecerai_esliesser	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4297, 0 062 322		je_je amoe_aimer	
