Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, myst, 296, 0 341 576		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, pap, 340, 0 349 510		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, pap, 1287, 0 355 165		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yva, 346, 0 465 892		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvf, 267, 0 471 415		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvf, 341, 0 471 877		i_y em_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, yvf, 983, 0 475 757		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvg, 982, 0 481 700		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvh, 269, 0 483 362		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yvh, 344, 0 483 831		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvh, 994, 0 487 773		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 338, 0 489 846		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvs, 342, 0 495 798		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, yvs, 983, 0 499 685		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret1, 75, 0 507 010		j_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 98, 0 507 541		i_y em_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, chret1, 298, 0 511 963		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 519, 0 516 407		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, chret1, 773, 0 521 721		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 269, 0 526 794		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 344, 0 527 263		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 994, 0 531 205		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 1491, 0 534 298		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1662, 0 535 327		j_y an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 1727, 0 535 742		j_je an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 2494, 0 540 562		j_je an_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 78, 0 580 989		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 84, 0 581 039		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesC, 305, 0 582 313		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 2190, 0 592 832		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 2262, 0 593 249		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 2456, 0 594 347		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 3196, 0 598 546		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesE1, 381, 0 601 669		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesK, 80, 0 612 109		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesK, 285, 0 613 323		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesK, 1936, 0 622 802		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesL, 87, 0 626 348		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesL, 385, 0 627 997		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesM, 86, 0 637 528		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesM, 382, 0 639 234		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesT, 86, 0 648 553		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesT, 382, 0 650 304		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesT, 521, 0 650 983		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesT, 1775, 0 658 343		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesT, 1972, 0 659 205		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesT, 2229, 0 660 748		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, fablesT, 2344, 0 661 362		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesZ, 86, 0 670 388		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesZ, 382, 0 672 122		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pera, 493, 0 678 511		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, pera, 664, 0 679 539		j_y an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pera, 729, 0 679 955		j_je an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pera, 1496, 0 684 776		j_je an_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, perb, 693, 0 692 082		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROper, i2|i|y, il, perb, 1448, 0 696 784		i_il en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, percevalb, 695, 0 704 125		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROper, i2|i|y, il, percevalb, 1452, 0 708 834		i_il en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 2906, 0 717 657		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 5362, 0 732 592		i_y em_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, percevalb, 6768, 0 741 168		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perf, 387, 0 757 575		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perf, 1047, 0 761 674		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, perf, 1152, 0 762 337		i_il en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, perl, 663, 0 781 491		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, perl, 738, 0 781 963		i_y an_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, perl, 1498, 0 786 719		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perm, 707, 0 793 947		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perp, 293, 0 803 593		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perp, 576, 0 805 287		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perp, 641, 0 805 704		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROper, i2|i|y, il, perp, 1402, 0 810 447		i_il en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perpraag, 268, 0 814 921		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perq, 88, 0 815 579		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perq, 593, 0 818 661		g_je en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, perr, 630, 0 828 702		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROimp, i2|i|y, il, perr, 1378, 0 833 340		i_il en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 595, 0 840 004		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 759, 0 841 044		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 843, 0 841 573		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 1357, 0 844 731		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pert, 642, 0 851 686		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pert, 707, 0 852 103		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pert, 1474, 0 856 903		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, sept, 303, 0 883 329		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, sept, 306, 0 883 346		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, sept, 311, 0 883 377		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, sept, 341, 0 883 578		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, alia, 320, 0 888 666		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, alia, 640, 0 891 072		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, alia, 1603, 0 899 612		j_y an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, alia, 1800, 0 901 361		j_y an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 258, 0 976 207		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 712, 0 978 855		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, ren2, 742, 0 979 039		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 1370, 0 982 898		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, ren2, 1409, 0 983 141		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 1653, 0 984 661		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 1792, 0 985 541		j_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 2088, 0 987 350		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 2290, 0 988 633		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, roma, 656, 0 992 745		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, romb, 754, 1 001 059		j_y em_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, rombriv, 282, 1 007 318		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, rombriv, 438, 1 008 231		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, rombriva, 199, 1 010 155		g_je i_y	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romc, 1041, 1 017 913		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romd, 790, 1 027 577		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, rome, 786, 1 037 159		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romh, 910, 1 047 486		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romh, 1121, 1 048 740		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, romh, 1254, 1 049 574		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romi, 160, 1 052 925		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romi, 262, 1 053 542		g_je y_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, romk, 1001, 1 063 917		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, roml, 782, 1 071 686		i_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romm, 1003, 1 082 050		i_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romm, 1039, 1 082 274		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, romo, 749, 1 091 656		j_y en_en	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, romo, 785, 1 091 877		i_y en_en	
