word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perf;1047;0 761 674;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perf;1152;0 762 337;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;perl;663;0 781 491;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;perl;738;0 781 963;an;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perl;1498;0 786 719;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perm;707;0 793 947;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;293;0 803 593;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;576;0 805 287;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;641;0 805 704;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROper;i2|i|y;il;perp;1402;0 810 447;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perpraag;268;0 814 921;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perq;88;0 815 579;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perq;593;0 818 661;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perr;630;0 828 702;en;en	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perr;1378;0 833 340;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;595;0 840 004;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;759;0 841 044;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;843;0 841 573;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;1357;0 844 731;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;642;0 851 686;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;707;0 852 103;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;1474;0 856 903;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;303;0 883 329;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;306;0 883 346;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;311;0 883 377;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;sept;341;0 883 578;en;en	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;alia;320;0 888 666;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;640;0 891 072;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;1603;0 899 612;an;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;alia;1800;0 901 361;an;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;258;0 976 207;en;en	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ren2;712;0 978 855;en;en	
