word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;aiol;1153;0 177 887;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;aiol;1553;0 179 387;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;michel;26;0 188 046;ei;avoir	
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;chevreS;118;0 195 151;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;elid;729;0 201 669;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;guigP;342;0 215 081;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;guigP;661;0 216 973;alasce;alaschier	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;lanvalC;614;0 226 653;ai;avoir	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lanvalP;610;0 234 213;ai;avoir	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;milonS;43;0 239 387;irai;aller	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;milonS;188;0 240 216;irai;aller	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;milonS;488;0 241 924;asemblerai;assembler	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;187;0 246 327;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;329;0 247 408;aime;aimer	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;362;0 247 678;irai;aller	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;423;0 248 103;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;547;0 249 064;avoie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;660;0 249 935;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;761;0 250 789;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;802;0 251 101;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;807;0 251 147;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;851;0 251 530;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;852;0 251 540;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;860;0 251 616;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;888;0 251 842;abessaisse;abaisser	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;317;0 254 293;aim;aimer	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;346;0 254 535;irai;aller	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;407;0 254 960;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;533;0 255 937;avoie;avoir	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;569;0 256 256;estoie;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;645;0 256 802;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;703;0 257 328;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;776;0 257 902;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;781;0 257 948;aim;aimer	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;807;0 258 166;es;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;825;0 258 332;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;826;0 258 342;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcB;834;0 258 416;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;190;0 260 247;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;230;0 260 529;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;233;0 260 558;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;439;0 262 140;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;702;0 264 128;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;733;0 264 404;oi;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;789;0 264 888;entent;entendre	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;868;0 265 475;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;871;0 265 504;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;919;0 265 918;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;920;0 265 928;ain;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;926;0 265 981;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;930;0 266 020;aie;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcC;958;0 266 245;oubliaisce;oublier	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;43;0 266 942;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;160;0 267 852;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;219;0 268 372;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;298;0 268 980;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;303;0 269 026;ain;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;347;0 269 407;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;348;0 269 417;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;384;0 269 714;oubliase;oublier	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcD;418;0 269 952;aim;aimer	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcE;173;0 271 299;aie;avoir	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yonecQ;248;0 277 561;iere;être	
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yonecS;226;0 280 686;iere;être	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;maur;708;0 306 361;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;troifr;161;0 309 132;os;oser	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;troifr;505;0 311 184;orrai;ouïr	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;benoit;257;0 314 513;ai;avoir	
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;benoit;263;0 314 543;ai;avoir	
