Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimd, 1338, 0 172 545		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nimd, 1412, 0 173 116		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, aiol, 710, 0 176 265		j_y orai_orer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, aiol, 726, 0 176 329		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, aiol, 806, 0 176 610		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, aiol, 1153, 0 177 887		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, aiol, 1553, 0 179 387		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, michel, 26, 0 188 046		j_je ei_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chevreS, 118, 0 195 151		i_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elid, 729, 0 201 669		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, guigP, 342, 0 215 081		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, guigP, 661, 0 216 973		j_y alasce_alaschier	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, lanvalC, 614, 0 226 653		j_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalP, 610, 0 234 213		g_je ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, milonS, 43, 0 239 387		g_je irai_aller	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, milonS, 188, 0 240 216		g_je irai_aller	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, milonS, 488, 0 241 924		j_y asemblerai_assembler	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 187, 0 246 327		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 329, 0 247 408		j_y aime_aimer	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcA, 362, 0 247 678		g_je irai_aller	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 423, 0 248 103		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 547, 0 249 064		j_y avoie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 660, 0 249 935		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 761, 0 250 789		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 802, 0 251 101		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 807, 0 251 147		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 851, 0 251 530		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 852, 0 251 540		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 860, 0 251 616		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcA, 888, 0 251 842		j_y abessaisse_abaisser	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 317, 0 254 293		j_y aim_aimer	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 346, 0 254 535		g_je irai_aller	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 407, 0 254 960		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 533, 0 255 937		j_y avoie_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 569, 0 256 256		g_je estoie_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 645, 0 256 802		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 703, 0 257 328		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 776, 0 257 902		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 781, 0 257 948		j_y aim_aimer	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 807, 0 258 166		g_je es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 825, 0 258 332		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 826, 0 258 342		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcB, 834, 0 258 416		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 190, 0 260 247		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 230, 0 260 529		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 233, 0 260 558		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 439, 0 262 140		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 702, 0 264 128		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 733, 0 264 404		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 789, 0 264 888		j_y entent_entendre	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 868, 0 265 475		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 871, 0 265 504		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 919, 0 265 918		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcC, 920, 0 265 928		j_je ain_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 926, 0 265 981		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 930, 0 266 020		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcC, 958, 0 266 245		j_y oubliaisce_oublier	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 43, 0 266 942		j_y ai_avoir	
