word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;960;2 388 383;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;1786;2 393 501;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sully2;4186;2 448 474;ou;ou;CONcoo
iou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amo;1440;2 458 613;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;139;2 475 761;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;1113;2 489 429;et;et;CONcoo
geo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;edmond;7;2 553 235;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ndchar;3426;2 583 696;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;egip;277;2 606 907;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cass;31;2 617 857;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cass;333;2 623 674;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;enf;597;2 656 720;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;enf;1528;2 662 176;et;et;CONcoo
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pen;148;2 677 998;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;malk;1924;2 794 598;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;malk;2103;2 795 630;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;malk;2328;2 796 953;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chauvency;67;2 817 829;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;helc;69;2 858 787;et;et;CONcoo
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;robin;260;2 869 559;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;troi;79;2 875 189;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;troi;157;2 877 555;et;et;CONcoo
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;troi;258;2 881 010;et;et;CONcoo
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nouvel;1398;2 945 020;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nouvel;1701;2 946 879;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nouvel;2265;2 950 303;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nouvel;2296;2 950 508;et;et;CONcoo
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pseuturp;539;2 973 623;et;et;CONcoo
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;loth;412;3 157 030;et;et;CONcoo
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;800;0 006 057;od;o;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3768;0 028 200;a;à;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rolandox;3825;0 028 636;a;à;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;gorm;347;0 032 019;a;à;PRE
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;788;0 039 233;en;en;PRE
