word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;evrat1;2239;1 310 015;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;evrat1;4368;1 323 111;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;contro;273;1 381 609;a;à;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;contro;1331;1 387 901;o;o;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PONpdr;je;je;epee;531;1 407 037;o;o;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;ADVgen;je;jà;mir;136;2 043 414;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;rose;1631;2 245 800;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;vcou;102;2 399 124;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hue;85;2 504 922;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cleom;2014;2 845 098;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;vache;2592;2 920 360;en;en;PRE
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;bourg;518;3 108 023;a;à;PRE
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;contre;3223;3 146 983;an;en;PRE
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;84;0 080 651;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;191;0 081 482;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;1003;0 087 546;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;1104;0 088 284;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;191;0 091 360;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;1161;0 098 592;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;1261;0 099 324;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;233;0 102 733;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;895;0 107 622;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima3;996;0 108 358;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima4;84;0 110 617;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nima4;191;0 111 440;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;nima4;211;0 111 591;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PONfbl;je;Ga;nima4;1142;0 118 512Ga;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nima4;1243;0 119 251;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nimb1;193;0 123 269;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb1;249;0 123 673;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nimb1;609;0 126 381;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb2;122;0 134 817;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimb2;545;0 137 996;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;188;0 146 890;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;261;0 147 424;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROimp;il|je;il;nimc;293;0 147 653;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;1163;0 153 990;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimc;1288;0 154 918;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimd;214;0 164 092;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;nimd;506;0 166 295;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;nimd;562;0 166 706;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;thA;159;0 186 318;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;thebefrag;164;0 187 573;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;equiS;102;0 206 693;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;equiS;133;0 206 886;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;guigP;340;0 215 067;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;guigS;320;0 220 019;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;guigS;522;0 221 195;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;milonS;442;0 241 656;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;narcA;788;0 250 978;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;762;0 257 777;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;290;0 261 055;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcE;47;0 270 364;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rou3a;111;0 292 804;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;maur;901;0 307 561;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;maur;948;0 307 845;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;benoit;1122;0 319 362;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;benoit;1122;0 319 367;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;chro;2085;0 339 312;en;en;PROadv
