word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 926; 0 040 101
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 958; 0 040 305
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 977; 0 040 435
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 981; 0 040 457
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 988; 0 040 511
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1006; 0 040 606
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1037; 0 040 815
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1113; 0 041 327
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1166; 0 041 668
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1286; 0 042 486
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1334; 0 042 822
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1337; 0 042 838
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1348; 0 042 926
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1350; 0 042 944
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1358; 0 043 006
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1372; 0 043 095
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1392; 0 043 230
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1405; 0 043 322
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1431; 0 043 487
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1434; 0 043 509
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1456; 0 043 652
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1468; 0 043 739
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1479; 0 043 817
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1486; 0 043 859
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1495; 0 043 922
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1501; 0 043 954
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1546; 0 044 215
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1735; 0 045 501
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1736; 0 045 508
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1737; 0 045 516
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1821; 0 046 078
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1851; 0 046 305
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1883; 0 046 503
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1966; 0 047 012
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1990; 0 047 152
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 1996; 0 047 191
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2026; 0 047 373
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2114; 0 047 973
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2156; 0 048 236
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2312; 0 049 218
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2315; 0 049 244
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2485; 0 050 350
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2503; 0 050 477
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2532; 0 050 657
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2541; 0 050 707
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2568; 0 050 892
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2573; 0 050 923
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2579; 0 050 962
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2590; 0 051 027
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2650; 0 051 424
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2676; 0 051 586
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2690; 0 051 671
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2695; 0 051 704
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2771; 0 052 235
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2810; 0 052 488
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 2850; 0 052 723
