word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 277; 0 147 541
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROimp; il|je; il; nimc; 293; 0 147 653
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 318; 0 147 843
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 459; 0 148 853
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 562; 0 149 650
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 827; 0 151 566
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; nimc; 1142; 0 153 838
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 1163; 0 153 990
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 1261; 0 154 725
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimc; 1288; 0 154 918
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; nimc; 1365; 0 155 497
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimc; 1475; 0 156 311
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 108; 0 163 245
j; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|y; y; nimd; 117; 0 163 315
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 214; 0 164 092
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 232; 0 164 224
j; PRO:pers:suj:1:sg:unb; PRO:pers; ADVgen; je; jà; nimd; 322; 0 164 890
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; nimd; 506; 0 166 295
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 562; 0 166 706
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 1167; 0 171 231
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 1251; 0 171 871
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 1275; 0 172 058
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 1334; 0 172 516
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 1338; 0 172 545
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; nimd; 1412; 0 173 116
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; aiol; 710; 0 176 265
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; aiol; 726; 0 176 329
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; aiol; 806; 0 176 610
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; aiol; 1153; 0 177 887
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; aiol; 1553; 0 179 387
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; thA; 159; 0 186 318
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; thebefrag; 163; 0 187 565
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; thebefrag; 164; 0 187 573
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; michel; 26; 0 188 046
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROper; i2|i|y; il; chevreS; 62; 0 194 847
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chevreS; 118; 0 195 151
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; elid; 729; 0 201 669
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; equiS; 102; 0 206 693
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; equiS; 133; 0 206 886
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; guigP; 340; 0 215 067
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; guigP; 342; 0 215 081
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; guigP; 661; 0 216 973
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; guigS; 320; 0 220 019
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; guigS; 522; 0 221 195
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; lanvalC; 614; 0 226 653
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; lanvalP; 610; 0 234 213
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; milonS; 43; 0 239 387
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; milonS; 188; 0 240 216
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; milonS; 442; 0 241 656
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; milonS; 488; 0 241 924
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 187; 0 246 327
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 329; 0 247 408
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcA; 362; 0 247 678
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 423; 0 248 103
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 547; 0 249 064
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 660; 0 249 935
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 761; 0 250 789
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 788; 0 250 978
